"","draw_size","tourney_date","match_num","winner_hand","winner_ioc","best_of","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced"
"1",128,19980119,1,1,"99",5,102,17,2,94,66,61,13,15,0,1,5,3,114,71,47,18,15,9,14
"2",128,19980119,2,1,"51",5,155,1,1,128,74,48,28,19,6,12,0,7,131,82,50,14,17,6,14
"3",128,19980119,3,1,"91",5,110,3,1,86,52,28,22,12,5,8,1,2,105,68,32,16,13,13,22
"4",128,19980119,4,1,"25",5,140,2,1,118,75,54,25,20,3,6,0,5,129,73,49,26,20,6,10
"5",128,19980119,5,0,"32",5,140,0,1,97,66,49,15,17,7,10,5,7,137,89,57,17,18,7,13
"6",128,19980119,6,1,"99",5,165,22,6,173,113,90,22,20,5,8,2,8,136,70,42,33,20,6,12
"7",128,19980119,7,0,"63",5,111,5,2,116,72,55,19,15,7,9,3,5,110,73,48,10,14,9,14
"8",128,19980119,8,1,"4",5,111,22,1,120,95,84,15,17,0,0,20,3,129,73,65,29,17,5,6
"9",128,19980119,9,1,"90",5,107,11,8,115,59,47,22,14,5,8,1,3,77,42,29,17,15,5,10
"10",128,19980119,10,1,"25",5,195,8,7,165,85,58,35,21,12,19,4,10,137,73,54,23,21,10,17
"11",128,19980119,11,0,"15",5,96,13,10,118,69,59,21,14,1,1,2,1,80,55,35,16,13,0,4
"12",128,19980119,12,1,"25",5,122,4,6,103,68,41,18,13,2,6,4,6,94,58,32,13,13,2,8
"13",128,19980119,13,1,"91",5,90,1,1,69,57,43,7,13,5,7,0,4,108,72,39,11,12,10,17
"14",128,19980119,14,1,"15",5,250,20,3,216,154,120,31,29,9,12,20,9,251,133,105,54,29,10,15
"15",128,19980119,15,1,"4",5,197,14,8,152,86,68,28,23,7,13,1,4,171,101,66,32,22,12,18
"16",128,19980119,16,1,"32",5,162,6,4,145,89,64,33,21,7,10,15,7,177,109,82,25,22,9,15
"17",128,19980119,17,1,"91",5,111,4,6,96,57,45,17,15,6,8,2,2,104,70,37,14,14,10,17
"18",128,19980119,18,1,"82",5,125,10,3,117,67,52,22,18,3,8,5,17,134,59,43,20,18,10,18
"19",128,19980119,19,1,"29",5,215,4,8,195,127,87,30,26,14,19,4,9,173,93,61,33,24,13,21
"20",128,19980119,20,1,"35",5,204,11,4,150,100,80,21,23,5,8,12,7,194,110,74,34,21,15,23
"21",128,19980119,21,1,"99",5,185,5,3,144,90,59,32,23,7,12,9,9,157,93,71,26,23,2,8
"22",128,19980119,22,1,"99",5,123,7,0,97,69,54,16,18,1,4,5,3,122,64,45,25,19,2,9
"23",128,19980119,23,0,"51",5,210,11,7,186,98,70,37,25,13,20,3,4,150,96,62,26,25,4,13
"24",128,19980119,24,1,"104",5,150,1,3,120,86,64,13,18,8,11,1,1,148,108,66,13,18,12,19
"25",128,19980119,25,1,"32",5,172,3,2,125,73,49,27,20,3,9,1,3,118,85,42,19,19,2,9
"26",128,19980119,26,1,"38",5,170,4,9,146,83,75,19,23,1,4,0,6,144,91,67,18,22,9,16
"27",128,19980119,27,1,"35",5,113,5,1,86,60,37,18,14,6,10,6,4,103,72,46,14,15,10,13
"28",128,19980119,28,1,"32",5,198,12,6,175,110,84,24,25,6,12,13,3,175,119,88,23,24,6,12
"29",128,19980119,29,1,"89",5,170,8,14,153,67,49,37,22,4,10,9,10,176,105,77,29,23,11,16
"30",128,19980119,30,1,"99",5,166,6,1,160,97,67,37,25,8,14,6,7,175,112,68,23,25,13,23
